親字	同	简化字	类推简化字	讹字	通
𣋳					
𣋵					
𣋶					
𣋹					
𣋿					
𣌅					
𣌏					
𣌓					
𣌗					
𣌚					
𣌜					
𣌞					
𣌟	㬡				
𣌠					
𣌧	𣆑𣆩󰟎				
𣌨					
𣌬					
𣌾					
𣍆					
𣍇					
𣍏					
𣍐					
𣍛					
𣍟	𦘫				
𣍦					
𣍴					
𣎓					
𣎔					
𣎗					
𣎚					
𣎛					
𣎟					
𣎩					
𣎮					
𣎱					
𣎲					
𣎳				汖	
𣎴	㩽				
𣎵					
𣏀					
𣏎					
𣏑					
𣏖	㮳				
𣏚					
𣏞					
𣏟					
𣏠					
𣏡					
𣏶					
𣏷					
𣏺					
𣐂					
𣐃					
𣐊					
𣐋					
𣐎					
𣐏					
𣐑	𣒽𣓄𣖲				
𣐓					
𣐫					
𣐮					
𣐵					
𣐺	𠀟			𢉫	
𣐿					
𣑁					
𣑂				𣐰	
𣑃					
𣑦					
𣑩					
𣑮					
𣑵				𥞰	
𣑸					
𣑹					
𣒂					
𣒃					
𣒄					
𣒆					
𣒇					
𣒷					
𣒸					
𣒹					
𣓀					
𣓃					
𣓅					
𣓆					
𣓈					
𣓉					
𣓊					
𣓋					
𣓌					
𣓏					
𣓒					
𣓔					
𣓕	㭝𣕽				
𣓗	𣒪󰝒				
𣓛					
𣓝					
𣓧					
𣔐					
𣔓					
𣔗					
𣔙					
𣔛					
𣔪					
𣔫					
𣔯					
𣔱					
𣔲	𣐒				
𣔷					
𣔸					
𣔹					
𣔺	𣓍				
𣔻					
𣔽					
𣕁					
𣕃					
𣕄					
𣕅	𣖏				
𣕉	𣙱				
𣕎					
𣕾					
𣖄					
𣖆					
𣖉					
𣖌					
𣖍					
𣖐					
𣖣					
𣖤					
𣖨	󰝩				
𣖪					
𣖫					
𣖬	𰘒				
𣖭	𰘽				
𣖮					
𣖰					
𣖳					
𣖷					
𣖸					
𣖹					
𣖻	𥁐𨡬				
𣖼	杊𣓓				
𣖾	𣓂				
𣗁					
𣗐					
𣗲					
𣗶					
𣗸					
𣗹					
𣗺					
𣗻					
𣗼					
𣘖					
𣘗					
𣘘					
𣘚					
𣘛					
𣘝					
𣘟					
𣘠	𣔼				
𣘣					
𣘤	檫櫒				
𣘥					
𣘨					
𣘪					
𣘫	椃𣚧				
𣘬					
𣘻					
𣙗					
𣙘					
𣙛					
𣙟					
𣙠					
𣙴					
𣙵					
𣙶					
𣙷					
𣙻					
𣙿					
𣚀					
𣚁					
𣚃					
𣚄					
𣚇					
𣚋					
𣚌					
𣚎					
𣚏					
𣚒					
𣚓					
𣚔					
𣚕					
𣚖	㭺				
𣚘	𣙤				
𣚙	㰄				
𣚜	棇𣞷樬				
𣚝					
𣚟					
𣚠	𣠝				
𣚡	𢡅				
𣚢					
𣚩					
𣚪					
𣛓					
𣛔					
𣛕	𣡗				
𣛗					
𣛚					
𣛫					
𣛱					
𣛴					
𣛷					
𣛸					
𣛹					
𣛺	𣒬󰝧				
𣛻					
𣛽					
𣛾					
𣜁					
𣜂					
𣜄	𣠾				
𣜇					
𣜢	𰘊				
𣜣	鈂				
𣜧					
𣜨	韏𠢺𣙂				
𣜬					
𣜹					
𣜺					
𣜽					
𣝁					
𣝂					
𣝅					
𣝇					
𣝈					
𣝉					
𣝋					
𣝌					
𣝍					
𣝎					
𣝏					
𣝐					
𣝑	𣟰				
𣝒					
𣝕			𣘷		
𣝚					
𣝜	𪓎				
𣝝					
𣝞	𩏙				
𣝸					
𣝽					
𣞇					
𣞏					
𣞐			𰗚		
𣞒					
𣞓					
𣞔					
𣞗					
𣞙	𣡆󰝭				
𣞜					
𣞝					
𣞤					
𣞰					
𣞳					
𣞴					
𣟀	槰蓬			𣝘	
𣟁					
𣟆					
𣟇					
𣟈					
𣟉					
𣟊					
𣟋	寨𣟯				
𣟌	𣟍				
𣟏					
𣟐					
𣟑					
𣟤					
𣟦					
𣟧					
𣟲					
𣟳					
𣟵	㰕桸𣛼𧔠𧕆𭬮󰧇				
𣟺					
𣟼	蕉				
𣟽					
𣠎					
𣠏					
𣠚					
𣠜					
𣠞					
𣠠					
𣠭					
𣠴					
𣠷					
𣠸					
𣠹					
𣠺					
𣠼					
𣡈					
𣡉	󰝷				
𣡋					
𣡎					
𣡕					
𣡟					
𣡠					
𣡧					
𣡩					
𣡭	󰝹				
𣡰					
𣡶	𰘵				
𣡽					
𣡾					
𣢁					
𣢇					
𣢉					
𣢊					
𣢋					
𣢌					
𣢍					
𣢎					
𣢏					
𣢐					
𣢑	㰩𣢇				
𣢒	䶾				
𣢓					
𣢕					
𣢖					
𣢗					
𣢚					
𣢛					
𣢜	𣢄𣢢𣤡				
𣢝					
𣢞					
𣢟					
𣢠					
𣢤					
𣢥					
𣢦					
𣢪					
𣢫					
𣢬	𣢽				
𣢭					
𣢰					
𣢲					
𣢳					
𣢴					
𣢶					
𣢷					
𣢺	欦󰣯				
𣣈					
𣣉				𪕆	
𣣊					
𣣌	㰷𣣰𣧋𣧸				
𣣎					
𣣏	𣣤				
𣣑					
𣣒					
𣣚					
𣣜					
𣣝	𣢣				
𣣞					
𣣟					
𣣠					
𣣡					
𣣣					
𣣩					
𣣭					
𣣲	𣢩			𣤥	
𣣳	𣣵𣤍𣤣󰣰				
𣣴					
𣣶	㰡				
𣣸	𣣧𨖯𰙐				
𣣹	𣣥				
𣣿	𰙍				
𣤁	𣥀				
𣤃					
𣤆					
𣤈					
𣤊					
𣤋	𰙕				
𣤌					
𣤎					
𣤖	𮝗𰹚󰬜				
𣤘					
𣤡					
𣤢					
𣤨					
𣤩					
𣤪					
𣤯					
𣤰					
𣤱					
𣤳					
𣤴				𢨛	
𣤵					
𣤶					
𣤷					
𣤺	𣤟				
𣥂	𣥗𱤻				
𣥃					
𣥇					
𣥊				𣥢	
𣥋					
𣥞					
𣥣					
𣥤					
𣥥					
𣥨					
𣥬					
𣥯					
𣥰					
𣥳					
𣥷					
𣥹					
𣥺					
𣥻	踜				
𣥼					
𣥾					
𣦀					
𣦇					
𣦉					
𣦌					
𣦐					
𣦠					
𣦢					
𣦣					
𣦦					
𣦩					
𣦪					
𣦫					
𣦬				𣦧	
𣦭					
𣦯					
𣦼	𣦻󰘷				
𣧂	𣧅				
𣧃					
𣧄					
𣧈					
𣧊					
𣧌	𣧆				
𣧍				𣧰	
𣧎					
𣧒	㱛𣧘󰔭				
𣧖	㱜𣦷𣧐				
𣧗					
𣧙					
𣧚					
𣧛					
𣧜					
𣧝					
𣧡	𣧵				
𣧣					
𣧤					
𣧥					
𣧦					
𣧧					
𣧲					
𣧵					
𣧺					
𣧽					
𣧾					
𣧿					
𣨀					
𣨂					
𣨄					
𣨅				𣩗	
𣨇					
𣨉					
𣨊					
𣨋					
𣨍					
𣨎					
𣨓					
𣨔					
𣨗					
𣨙					
𣨛					
𣨜					
𣨝					
𣨞					
𣨟					
𣨠					
𣨡	𣧭				
𣨢	𣧪				
𣨣					
𣨤					
𣨥					
𣨪					
𣨫					
𣨲	󰛒				
𣨳					
𣨶	𠿔				
𣨺					
𣨾					
𣨿					
𣩀					
𣩄					
𣩅					
𣩈					
𣩏					
𣩑					
𣩔					
𣩚					
𣩜					
𣩟					
𣩠					
𣩡					
𣩢					
𣩧					
𣩩					
𣩪					
𣩫					
𣩭					
𣩯					
𣩰					
𣩱	𣨵𣩄				
𣩴					
𣩷	𣩕				
𣩺					
𣪀					
𣪁					
𣪂					
𣪄					
𣪇					
𣪉					
𣪐	𣪾				
𣪠	毄				
𣪨					
𣪭					
𣪮					
𣪯	𢾮				
𣪶					
𣫀					
𣫈					
𣫉					
𣫎	𰙇				
𣫏					
𣫐	𣪾󰣽				
𣫒					
𣫔					
𣫙					
𣫜					
𣫣					
𣫨					
𣫪					
𣫬					
𣫰					
𣫱					
𣫳					
𣫴					
𣫵					
𣫶					
𣫹					
𣬂					
𣬆					
𣬉	󰞋				
𣬍					
𣬎					
𣬏	𣬋				
𣬐				𣬔	
𣬕					
𣬘					
𣬛					
𣬠					
𣬩	𰚑				
𣬪					
𣬫					
𣬬					
𣬮					
𣬴	𣯵				
𣬵					
𣬶					
𣬷					
𣬸	𰚕󰢪				
𣬹					
𣬺					
𣬻					
𣬼					
𣬽					
𣬿					
𣭆					
𣭇					
𣭖					
𣭝					
𣭠	𣭄				
𣭮					
𣭷	𰚘				
𣭹					
𣭻	𣥡				
𣭽				𣭺	
𣮄					
𣮆					
𣮊	𰚟				
𣮎					
𣮏					
𣮐					
𣮡					
𣮢					
𣮦					
𣮧	𣯊𣯓𣯞𣯟𣯬󰢬			𤷋	
𣮪					
𣮫	𣮱				
𣮬	㲙㲣𣮸				
𣮰					
𣮾					
𣯀					
𣯄	󰢯				
𣯆					
𣯌	𣯢				
𣯍	䩸縟𣭲𥎜𰚩			㲝𣰲	
𣯎					
𣯏					
𣯐					
𣯚					
𣯜					
𣯤					
𣯨	󰢱				
𣯩			𣯣		
𣯪					
𣯭					
𣯱					
𣯴			𣭤		
𣯸					
𣯹					
𣯻					
𣯼	𣰮𰚤				
𣰃	𣰄				
𣰈					
𣰋	𣰰				
𣰌					
𣰕					
𣰘					
𣰚	𣰖				
𣰛	𰚱				
𣰜					
𣰠					
𣰡					
𣰥					
𣰦					
𣰨			𬇄		
𣰩					
𣰶					
𣰷	𰚵				
𣰺					
𣰻					
𣰼	𰚶				
𣰿					
𣱀					
𣱁					
𣱂					
𣱈					
𣱉	𰚸				
𣱍					
𣱐	𣱑𣱒				
𣱓					
𣱗					
𣱜					
𣱦					
𣱧					
𣱫					
𣱮					
𣱱					
𣱶					
𣱻					
𣱼					
𣱽					
𣲀					
𣲂					
𣲑					
𣲖					
𣲜					
𣲡	𣲓𣳟				
𣲢					
𣲤					
𣲥					
𣲱					
𣲲					
𣲳					
𣲵					
𣲶					
𣲷					
𣲽					
𣲾					
𣲿					
𣳀					
𣳃					
𣳜					
𣳠					
𣳤	𣳄				
𣳦					
𣳩					
𣳬					
𣳭					
𣳰					
𣳲					
𣴓					
𣴖	㳨灒				
𣴞					
𣴢					
𣴣					
𣴨				𠗍	
𣴽					
𣴿					
𣵟					
𣵢	𣶞𣹼				
𣵪					
𣵱					
𣵷	𣢟				
𣵸					
𣵻	𣵺				
𣵼					
𣶆					
𣶈					
𣶊					
𣶋					
𣶍					
𣶏					
𣶐					
𣶝					
𣶠					
𣶡					
𣷞				㴕	
𣷠					
𣷡					
𣷥					
𣷩					
𣷪					
𣷶					
𣷾					
𣷿					
𣸀	泋				
𣸃					
𣸄					
𣸇					
𣸉					
𣸊	󰠐				
𣸋					
𣸎					
𣸏					
𣸐	沯				
𣸒					
𣸘					
𣸙					
𣸚					
𣸛					
𣸝					
𣸠					
𣸢					
𣹋					
𣹏					
𣹐					
𣹑					
𣹒					
𣹚					
𣹜					
𣹝					
𣹞					
𣹡					
𣹥					
𣹧					
𣹩					
𣹪					
𣹬					
𣹮					
𣹯					
𣹱					
𣹲	漽𣖅				
𣹵					
𣹶					
𣺀					
𣺭	𣺁				
𣺮					
𣺰	㴥𣹝				
𣻍					
𣻐					
𣻑					
𣻒	𣻓				
𣻕					
𣻖					
𣻘					
𣻛					
𣻜					
𣻠					
𣻡					
𣻢					
𣻩					
𣻮					
𣻱					
𣼚					
𣼟					
𣼠					
𣼤					
𣼦					
𣼧					
𣽈					
𣽉					
𣽌					
𣽍					
𣽒					
𣽕	𣿏				
𣽖					
𣽛					
𣽝					
𣽟					
𣽡					
𣽥					
𣽭	𤀄󰠬󰠛				
𣽯					
𣽲					
𣽳					
𣽴					
𣾤					
𣾦					
𣾱					
𣾲					
𣾳					
𣿅					
𣿆					
𣿇					
𣿈					
𣿉			𣶫		
𣿊					
𣿌					
𣿐					
𣿒					
𣿓					
𣿝					
𣿞					
𣿟					
𣿣					
𣿤					
𣿥					
𤀉					
𤀊					
𤀌					
𤀍					
𤀝					
𤀣					
𤀤	𤂳				
𤀦					
𤀨					
𤀩					
𤀪					
𤀫					
𤀰					
𤀲					
𤀷					
𤁐					
𤁡					
𤁢					
𤁣	㴰				
𤁥	𣿢				
𤁦					
𤁧					
𤁪					
𤁫					
𤁮					
𤁯					
𤁱					
𤁳					
𤁵					
𤁹					
𤁼					
𤁽					
𤁿	𰝪				
𤂀					
𤂁					
𤂃					
𤂆					
𤂊					
𤂠					
𤂤					
𤂲					
𤂶					
𤂹					
𤂺					
𤂼					
𤂿					
𤃀					
𤃄					
𤃨					
𤃩	𤅷				
𤃪	𤂴				
𤃭	潐𤄩				
𤃲					
𤃵					
𤃶	𧰥				
𤃷					
𤃺					
𤃻					
𤃼					
𤃽					
𤄎					
𤄏					
𤄑					
𤄒	㶕		𰝗		
𤄓					
𤄔					
𤄖					
𤄘					
𤄛					
𤄥					
𤄧					
𤄫	𤃳			𤃃	
𤄬					
𤄶					
𤄷					
𤄺	𤁻				
𤄼					
𤅈					
𤅊					
𤅋					
𤅎					
𤅐					
𤅒					
𤅓					
𤅱					
𤅲	𤅠				
𤅸					
𤅹					
𤆀					
𤆁					
𤆏					
𤆑					
𤆒					
𤆙					
𤆜					
𤆝	炇				
𤆟					
𤆮					
𤆰					
𤆳					
𤆴					
𤆵					
𤆼					
𤆾					
𤇜					
𤇞					
𤇠					
𤇯	煾𤇷				
𤇰					
𤇳					
𤇴					
𤈔					
𤈙					
𤈚					
𤈥	𤈑				
𤈦					
𤈧					
𤈩	㷢				
𤉌					
𤉍					
𤉏					
𤉐	𢋱𨓂𨖮				
𤉤	𤎨				
𤉥					
𤉦					
𤉨	炥𤊸𤒓𤒜				
𤉪					
𤉫					
𤊞					
𤊟					
𤊲	𤇱𤎠				
𤊴	焃𤎃				
𤊵					
𤊶					
𤊻					
𤊽	𤋯				
𤊾					
𤊿					
𤋂					
𤋨					
𤋫					
𤋭					
𤋰					
𤌂					
𤌃	𤌕				
𤌇				𤋅	
𤌊					
𤌌					
𤌍					
𤌎					
𤌏					
𤌐					
𤌔					
𤌗					
𤌷					
𤌹	𣉙				
𤌾					
𤌿					
𤍀					
𤍒	𤑗				
𤍓					
𤍕					
𤍖					
𤎄					
𤎊					
𤎋					
𤎗					
𤎘					
𤎣					
𤎤					
𤎥	袩				
𤎧					
𤎭					
𤎯	熷𤎰				
𤎱					
𤎲					
𤎶					
𤏗					
𤏘					
𤏜					
𤏱					
𤏶	𤓏				
𤏸					
𤏽					
𤏿					
𤐀	𤒬				
𤐔					
𤐖					
𤐙					
𤐣					
𤐩					
𤐫					
𤐰					
𤐱					
𤐲					
𤑃	𦡶				
𤑄					
𤑌					
𤑓					
𤑦					
𤑪					
𤑳			𤎻		
𤑷					
𤑸					
𤑹					
𤑿	𤒤				
𤒔					
𤒕					
𤒝					
𤒦	𤒥		𬋃		
𤒻					
𤓔					
𤓕					
𤓚					
𤓝					
𤓤					
𤓦					
𤓯					
𤓷	𤓶				
𤓾					
𤔀	󵆇				
𤔂	𤓴				
𤔉					
𤔋					
𤔖	𤬁				
𤔙					
𤔚					
𤔝					
𤔞					
𤔟					
𤔣				𠭦	
𤔨					
𤔶					
𤕀					
𤕁					
𤕆					
𤕇					
𤕊					
𤕒					
𤕘					
𤕚					
𤕝					
𤕞					
𤕟	𤕠󰦾				
𤕢					
𤕦	𠵪𠹣𡄉𤕧			𠽽	
𤕯					
𤕷	㸠桃𤕿				
𤕾	𤗂				
𤖀					
𤖆	𦎗				
𤖒					
𤖖	𤗶				
𤖗					
𤖘					
𤖛					
𤖞					
𤖢					
𤖦	𤕵𤖜				
𤖪					
𤖬					
𤖭					
𤖮					
𤖱	柇𥞩				
𤖳					
𤖵					
𤖺					
𤖻					
𤖼	𤖿				
𤗀					
𤗁					
𤗃					
𤗇					
𤗈					
𤗍					
𤗎					
𤗏	𤖯				
𤗓					
𤗘					
𤗚	𤖿				
𤗛					
𤗜					
𤗞					
𤗢					
𤗨					
𤗪					
𤗫					
𤗬					
𤗭	𤗕󰮢				
𤗯					
𤗰					
𤗳					
𤗴					
𤗵					
𤗷					
𤗸					
𤗺					
𤗻					
𤗾					
𤗿					
𤘃					
𤘅					
𤘇					
𤘊					
𤘌					
𤘔					
𤘖					
𤘘	㸸				
𤘛					
𤘜					
𤘝					
𤘟	𤘞𤘼𤙉				
𤘠					
𤘡					
𤘢					
𤘣					
𤘤					
𤘦					
𤘧					
𤘵					
𤘷					
𤘸	𤚈				
𤘹					
𤘺					
𤘻	󰢒				
𤘽					
𤘾	𤙀				
𤙅					
𤙇					
𤙋					
𤙌					
𤙎					
𤙏					
𤙒					
𤙔					
𤙕					
𤙘	󰢖				
𤙛					
𤙝					
𤙞					
𤙟					
𤙡					
𤙣	鈝𤙖󰢛				
𤙤					
𤙩					
𤙬					
𤙭					
𤙰					
𤙱					
𤙴					
𤙵					
𤙼	𤚁				
𤙽					
𤙾					
𤚀					
𤚅					
𤚉					
𤚍					
𤚎					
𤚏					
𤚓					
𤚔					
𤚚					
𤚜					
𤚝					
𤚟					
𤚡					
𤚣					
𤚤					
𤚥				𦎌	
𤚨					
𤚩					
𤚪					
𤚫	𤛋				
𤚬					
𤚭					
𤚯					
𤚰					
𤚱					
𤚵					
𤚶					
𤚼	𣪬𤚲𤛗󰢝			撀	
𤚽					
𤛄					
𤛊					
𤛍					
𤛎					
𤛏					
𤛐					
𤛑					
𤛖					
𤛙					
𤛚					
𤛛					
𤛜					
𤛢	󰢞				
𤛣					
𤛥					
𤛦					
𤛧					
𤛪					
𤛬					
𤛭					
𤛱					
𤛲	𤛂				
𤛷					
𤛻	𤜐				
𤜁				𤛸	
󰲲	𤜂				
𤜄					
𤜇					
𤜉	󰲱				
𤜊					
𤜋					
𤜍					
𤜓					
𤜔					
𤜕					
𤜖					
𤜘					
𤜙	㸳				
𤜜					
𤜝					
𤜡					
𤜢					
𤜣	㹝				
𤜤					
𤜧					
𤜪					
𤜫					
𤜮					
𤜯					
𤜰					
𤜲					
𤜵					
𤜷	𤝃				
𤜹	𣢧𤝆				
𤜻					
𤜼					
𤜾	犱𤞁				
𤝅					
𤝇					
𤝍					
𤝎					
𤝐					
𤝕					
𤝖					
𤝘					
𤝚					
𤝛	狏				
𤝞					
𤝟					
𤝬					
𤝭					
𤝮					
𤝯					
𤝱					
𤝳					
𤝷					
𤝸					
𤝹					
𤝻	狏𧳁				
𤝿					
𤞂					
𤞇					
𤞈					
𤞉					
𤞊					
𤞋					
𤞍					
𤞗					
𤞚					
𤞛					
𤞞					
𤞟					
𤞠					
𤞡					
𤞢					
𤞥					
𤞮					
𤞰					
𤞲	𤞙				
𤞳					
𤞶					
𤞷					
𤞺					
𤟀					
𤟃	𤡞				
𤟅					
𤟆				𠝨	
𤟇					
𤟍					
𤟎					
𤟑					
𤟓					
𤟖					
𤟘					
𤟚					
𤟝					
𤟞					
𤟟					
𤟠	𤟕				
𤟢					
𤟣					
𤟤	𤟴		𰡋		
𤟥					
𤟦					
𤟧	偲				
𤟪					
𤟷					
𤟸					
𤟹					
𤟼					
𤟾					
𤟿					
𤠀					
𤠁					
𤠇					
𤠈					
𤠉					
𤠍					
𤠎				𤟺	
𤠐					
𤠓					
𤠘					
𤠙					
𤠚					
𤠛					
𤠝					
𤠟	𤟬				
𤠠					
𤠢					
𤠫					
𤠮					
𤠯					
𤠶					
𤠺					
𤠽					
𤠿					
𤡂					
𤡃					
𤡆	猔				
𤡇					
𤡏					
𤡓					
𤡔					
𤡕					
𤡖					
𤡟					
𤡢	𤢌𧴐				
𤡣					
𤡤	𧴓				
𤡥	𤡦				
𤡧					
𤡨					
𤡪	𤢍𤢩				
𤡬					
𤡭					
𤡮	𤢅				
𤡯	𤢧𤢴				
𤡰					
𤡱					
𤡲					
𤡳	𤡄𤡻				
𤡶					
𤡾					
𤡿					
𤢀					
𤢁					
𤢂					
𤢄					
𤢊					
𤢋					
𤢎					
𤢏					
𤢐					
𤢒					
𤢓					
𤢖					
𤢗					
𤢘					
𤢟			𤝢		
𤢡					
𤢣					
𤢦					
𤢨					
𤢭					
𤢮					
𤢵					
𤢶					
𤢹					
𤢺					
𤢼					
𤣃					
𤣅					
𤣆					
𤣌					
𤣎			𰡢		
𤣑					
𤣘					
𤣙					
𤣞					
𤣟					
𤣠	㺧			𤣣	
𤣨					
𤣬					
𤣯					
𤣰					
𤣲	𤣭				
𤣵					
𤣶					
𤣸					
𤣹					
𤣼	𰡱				
𤤄	𤥜𤥞			𤥘	
𤤊					
𤤋	𤤇				
𤤐					
𤤑					
𤤒					
𤤧					
𤤩					
𤤫					
𤤬					
𤤮					
𤤱					
𤤲					
𤤶					
𤤷	𤧫				
𤤸					
𤤺	玴𤦥				
𤥐					
𤥒					
𤥓					
𤥔	珟				
𤥗					
𤥙	𤥱𤧯				
𤥝					
𤥭			𰡰		
𤥮					
𤥰					
𤥷					
𤥺	𤩆				
𤥽					
𤥿					
𤦃	琜				
𤦄	𡐜				
𤦪					
𤦮					
𤧕					
𤧘					
𤧙					
𤧛					
𤧜					
𤧠					
𤧣					
𤧩				𤦁	
𤧫					
𤧭					
𤧱					
𤧴					
𤨍					
𤨎					
𤨑					
𤨖					
𤨗	𤪇				
𤨙	玏𤨕				
𤨻					
𤩂					
𤩄					
𤩊					
𤩠					
𤩢					
𤩩					
𤩪					
𤩭	𰢖󰜻				
𤩮	𤩯𤪢				
𤩲					
𤩳					
𤪄	𤩃				
𤪆					
𤪋					
𤪌	璂𤩒				
𤪍					
𤪎	𣤦𤩤			𨗰	
𤪡					
𤪪	瑃				
𤪮					
𤫉					
𤫋					
𤫕	𤫘				
𤫝					
𤫣					
𤫨					
𤫫					
𤫬					
𤫱	𤬈󰦢󰦠				
𤫲					
𤫵					
𤫶					
𤫷					
𤫹					
𤫺	𤬇𤬍				
𤫻					
𤬁					
𤬂					
𤬃					
𤬅					
𤬌					
𤬏					
𤬐					
𤬓	㼓𤬚				
𤬔					
𤬕					
𤬖	𤫾𤬍				
𤬘					
𤬛	𤬜				
𤬝					
𤬠					
𤬧					
𤬨					
𤬩				𢦭	
𤬪					
𤬫					
𤬯	𣘞𤬰				
𤬱					
𤬵					
𤬷	𤬼𤭗𤭠𤭡𤭲				
𤭂					
𤭇					
𤭉	㼹			𤭕	
𤭌					
𤭍					
𤭑					
𤭒					
𤭔					
𤭙	㼨				
𤭜					
𤭞					
𤭟					
𤭢					
𤭧					
𤭩					
𤭫					
𤭬					
𤭴					
𤭻					
𤭼					
𤭽					
𤮆					
𤮊	㼹				
𤮋	𤭋𤭳𤮖				
𤮌					
𤮎	𤮉				
𤮏					
𤮕					
𤮘	㽅				
𤮙					
𤮚					
𤮜	𦉕				
𤮪	𧜈𧝻𧞚				
𤮭					
𤮯					
𤮱	𡓳				
𤮷	㽌				
𤮸					
𤮼	𨟲𨠍				
𤮽					
𤯄					
𤯇					
𤯌	𤯍𤯎				
𤯐					
𤯖					
𤯚					
𤯜					
𤯝					
𤯡					
𤯥					
𤯷	𤰀𦨄				
𤯸					
𤯻					
𤰂					
𤰅					
𤰈	葡𤰇𦯞				
𤰌					
𤰑					
𤰓					
𤰙					
𤰚					
𤰟					
𤰠					
𤰦					
𤰪					
𤰬					
𤰳					
𤱃	𤱛				
𤱅					
𤱆					
𤱇					
𤱉				𤰮	
𤱋					
𤱌					
𤱍					
𤱎					
𤱐					
𤱟					
𤱠					
𤱡					
𤱢					
𤱨	𤲻				
𤱩					
𤱴					
𤱷					
𤱸					
𤱹					
𤱺					
𤱽	𤱁				
𤱾				𤰮	
𤲉					
𤲑	䍆𤱤󰛻				
𤲒					
𤲓					
𤲖	𰣏				
𤲗					
𤲚					
𤲨					
𤲩					
𤲬	㽭壖𡑂𤳜𤳟󰙔				𣽈
𤲭					
𤲰					
𤲺					
𤳂					
𤳃					
𤳅					
𤳉	䎯				
𤳊	𡳧				
𤳎					
𤳓					
𤳕					
𤳖	𤳗				
𤳘					
𤳝					
𤳠					
𤳤					
𤳥					
𤳦					
𤳪					
𤳯	𤳐𤳼𥷿			𤳌	
𤳳	𤳹𤴄				
𤳵					
𤴀	𤳭				
𤴓					
𤴘					
𤴙				㽰	
𤴟					
𤴢					
𤴣					
𤴦					
𤴧					
𤴪	𤴮				
𤴯					
𤴱				𤵊	
𤴳					
𤴻					
𤴼					
𤴽					
𤴾					
𤴿	㾆𤵓𤵷				
𤵀					
𤵂					
𤵉					
𤵎					
𤵐					
𤵒					
𤵘					
𤵛					
𤵝					
𤵟					
𤵠					
𤵥					
𤵬					
𤵭					
𤵮					
𤵯					
𤵱					
𤵻					
𤵼	𤷛𤹟				
𤵽	𤸎			𢈒	
𤵾	𤶮				
𤶀					
𤶁					
𤶓					
𤶕					
𤶖					
𤶘					
𤶚					
𤶜					
𤶠	𤵫𦠏				
𤶤					
𤶱					
𤶲					
𤶳					
𤷀	𤶶				
𤷁					
𤷃					
𤷄					
𤷅					
𤷆					
𤷇					
𤷉					
𤷍					
𤷎	䏨				
𤷏					
𤷑					
𤷒					
𤷔					
𤷕					
𤷖					
𤷗					
𤷙	𤹬				
𤷟					
𤷢					
𤷤					
𤷦					
𤷩					
𤷹					
𤷻	𤶆𤶵𤸢𤺙				
𤷼					
𤷽	㾡				
𤷾					
𤷿					
𤸀					
𤸁	𠿔			㑰	
𤸅	痻𤵤				
𤸆					
𤸈					
𤸊					
𤸍					
𤸎					
𤸏					
𤸑	𤹫				
𤸒					
𤸓					
𤸖					
𤸗					
𤸪	𤸞				
𤸫			𤶧		
𤸬					
𤸮					
𤸯					
𤸱	𤷷𤸙𤹺				
𤸲					
𤸳					
𤸴					
𤸵	痡𤵗				
𤸷	㿏𤺽				
𤸸					
𤸹					
𤸻					
𤸼					
𤹈					
𤹊					
𤹋					
𤹌					
𤹛					
𤹜					
𤹝					
𤹞					
𤹡					
𤹢					
𤹣					
𤹥					
𤹦					
𤹧					
𤹨					
𤹩					
𤹲					
𤹴					
𤹵					
𤹸					
𤺀					
𤺃				𤻁	
𤺄	瘇𡰒𡰕𩩳				
𤺅					
𤺇					
𤺉			𰣦		
𤺊					澌
𤺌					
𤺎					
𤺏					
𤺐					
𤺓					
𤺔					
𤺕					
𤺖					
𤺗					
𤺢					
𤺩					
𤺪					
𤺫					
𤺷					
𤺸					
𤺺					
𤺻					
𤺼					
𤺾					
𤻂					
𤻃					
𤻄					
𤻅					
𤻆					
𤻖					
𤻘					
𤻙					
𤻜					
𤻝					
𤻢					
𤻤					
𤻦					
𤻱	𤺿				
𤻶					
𤻷					
𤻿					
𤼀					
𤼁					
𤼂					
𤼃					
𤼅					
𤼈					
𤼋					
𤼌	𤺆				
𤼍					
𤼏					
𤼐					
𤼒					
𤼗					
𤼘					
𤼙	癵𤹏𤼣𩪾				
𤼚					
𤼢					
𤼮					
𤼳	𤼴				
𤼶					
𤼺	𤼹𧶢			𤼰	
𤽁	𤽆				
𤽃					
𤽅					
𤽉					
𤽊					
𤽌					
𤽕					
𤽣					
𤽥					
𤽦					
𤽱					
𤽲					
𤽳					
𤽹					
𤽺					
𤽼					
𤽾					
𤽿					
𤾄					
𤾅					
𤾈					
𤾉					
𤾑					
𤾒					
𤾛					
𤾝					
𤾢					
𤾣					
𤾥					
𤾫					
𤾬					
𤾭	𤾳				
𤾮					
𤾲					
𤾵					
𤾺					
𤾿					
𤿀				𤾶	
𤿄					
𤿅	皊𤾨𤾻󰦘				
𤿆					
𤿋					
𤿎	㩺				
𤿏	𤿒				
𤿐					
𤿓	𤿻				
𤿕					
𤿖					
𤿘	皽				
𤿙	𠂱				
𤿚	皻皶𦟰				
𤿞					
𤿟					
𤿠					
𤿡					
𤿣					
𤿧					
𤿩					
𤿫					
𤿭					
𤿳					
𤿴					
𤿵					
𤿶					
𤿷					
𤿼					
𤿾					
𥀃	𥀄				
𥀈	𤿪				
𥀉					
𥀏				𥀇	
𥀐					
