親字	同	简化字	类推简化字	讹字	通
㼱	𠤦𠬫𠭝𡕶𡰺𤕱𤭀𥨏𩏈󵄢			𥧐	
㼲	𤭃𤮁𦓓𰢥				
㼳					
㼴					
㼵	𦉁				
㼶					
㼷					
㼸	𤮇				
㼺	𤮂				
㼻	󰞓				
㼽	𤭪				
㼾					
㼿					
㽀	𥂴				
㽂					
㽃					
㽄	𤭣𤭦𤮓				
㽆					
㽇					
㽈					
㽉	𦉞				
㽊	𤮶				
㽋					
㽎					
㽏					
㽑					
㽕	𣔴			𡱋	
㽘	奋			𤰢	
㽚					
㽛					
㽝					
㽟					
㽠	𤲍𱰱󰩬				
㽡	𤲤𤲦				
㽢	䅖䎨				
㽤					
㽥	𰣑				
㽦	𢻸				
㽧	󰳎				
㽨	𤳶				
㽩	𤳑𤳒				
㽪	󰥲				
㽫					
㽬					
㽱	㽲			𤴥	
㽲					
㽳	疞				
㽴					
㽷					
㽹					
㽺					
㽻					
㽽					
㽾	𤴰				
㾀					
㾁				𤴷	
㾂					
㾃	𤵚				
㾅	𤴹				
㾇					
㾈					
㾊					
㾋	𤺣				
㾍					
㾎					
㾏					
㾑					
㾒					
㾓					
㾔					
㾕					
㾖					
㾙	庍				
㾚					
㾛					
㾜					
㾝					
㾞					
㾟					
㾠					
㾢					
㾣					
㾤	啌				
㾥					
㾦				痦	
㾧					
㾨					
㾩					
㾪	𤵙𩩭				
㾫					
㾭	𤵰𤶍𤷨				
㾮					
㾯					
㾰	𤵡				
㾴					
㾵			𬏟		
㾷	𤶈𤶰𤷡				
㾸					
㾹				𤸍	
㾺					
㾻					
㾼					
㾾					
㾿					
㿃	䐭				
㿄					
㿆					
㿇					
㿉	㾯㾽㿗𤸉𤼊𥢢		𤻊𰣶		
㿊					
㿌					
㿎					
㿑					
㿒	𤹷𤺜				
㿓					
㿕					
㿖					
㿘					
㿙	𤼟𤼤				
㿚	𣩿				
㿛					
㿠					
㿣					
㿤					
㿥					
㿦					
㿧					
㿩					
㿪					
㿫					
㿬					
㿭				𤖷	
㿮					
㿯					
㿰					
㿱					
㿳					
㿴	䐛𤿽				
㿷	𥀞				
㿸	𥀗𥀤				
㿹	𥀀				
㿺	𤿈𤿉				
㿻					
㿼					
㿽					
㿿	𥁱				
䀀	盕釩𥁔𥁩𥁷𨥧				
䀁	𥁓				
䀂					
䀃					
䀅					
䀇	𥂩				
䀈	󰥺				
䀉			𥁢		
䀊	𥂔𥃃			𥂨	
䀍			𰥊		
䀏	眴				
䀐					
䀑					
䀒					
䀓					
䀔					
䀕					
䀖	瞋			𥊱	
䀗					
䀘	𥅝𥅳				
䀙					
䀚					
䀛	䀜				
䀞					
䀡	𥇞				
䀣	䀛			䎵	
䀤					
䀦					
䀧					
䀨	𥆠				
䀩					
䀪					
䀫	䀹				
䀬					
䀭					
䀮	𥆈𥆰𥇫𥉂󰥤󰥓				
䀰					
䀱	盽𫞳				
䀲					
䀴	󰥒				
䀶	㾗䁁𥇉				
䀷					
䀸	䀿				
䀹	𣮌𣮍𣰞𥅴𥇒				
䀺	臫𥃧𥄩𥆎				
䀻					
䀼					
䀽	󰥏				
䁂					
䁃	𥋦𥌜				
䁄					
䁅					
䁆	𥉱𰥿				
䁇					
䁈	䀾䁉𢾥			𥅐	
䁊					
䁋	𥇱󰥜				
䁌					
䁍	𥇌				
䁎					
䁏	䁘𣉋				
䁐	眏				
䁒					
䁓				𥅢	
䁔					
䁕					
䁗					
䁘					
