親字	旧字	異体字
粼		𥻘
粽		糉
精	精	
糂		糝
糍		𩝐
糕		餻
糖	糖	糛𥹥
糠		穅
糧		粮
糯		穤稬
糱		糵
糲		䊪
糴		籴
糶		粜
糸	糸絲	
糾		糺
紘		綋
紙		帋
紝		絍
紮		紥
累		絫纍
紲		緤絏
経	經	巠
絛		縧
絣		絣
絵	繪	
絶	絕	
継	繼	㡭
続	續	
綷		紣
綿		緜
緇		𱹼
総	總	揔摠緫
緑	綠	
緒	緖	
線		綫
緡		緍
緪		絚
練	練	
縁	緣	
縄	繩	
縉		縉
縕		緼
縦	縱	
縶		馽
繁	繁	
繈		繦
繊	纖	纎
織		𦀗
繡		綉繍
繫		繋
繭		蠒絸
纃		緕
纊		絖絋
纏		纒
纑		䋆
纓		䋝
纘		纉
纛		𢃶
纜		䌫
缶	缶罐	𦈢欟𣠤缻
罌		甖
罡		𦊆
罩		䈇
罪		辠
罰		罸
署	署	
羇		覉
羈		覊
羊		𦍌
羌		羗
羑		羐
羕		𣴎
群		羣
羹		羮
羽	羽	
翠		翆
翬		𦑩
翺		翱
翻		飜
翼		𦐂
者	者	
耇		耈
耋		耊
耕		畊
耗		秏
耙		䎱
耜		㭒
耨		槈
耼		聃
耽		躭
聒		𦕾
聞		𥹢
聡	聰	聦
聯		聨
聴	聽	
職		軄
肇		肈
肉		宍
肯		𣍟肎
肱		厷
育		毓
肴		餚
胄		伷
胆	膽	
胚		肧
胭		臙
胸		胷
脆		脃
脇		䏮𦚰
脈		衇脉
脚		腳
脛		𦙾
脱	脫	
脳	腦	匘
腁		胼
腕		𢯲
腥		胜
腰		𦝫
腸		膓
膀		髈
膚		肤
膝		厀
膩		𦡸𧸐
膳		饍
膾		鱠脍
臆		肊
臍		𦜝
臏		髕
臓	臟	
臘		臈﨟
臥		卧
臭	臭	
致	𦤶	
臾		㬰
臿		𦥛
舂		𣇃㫪
舃		𩍆𭴷舄
舎	舍	
舐		舓䑛
舗	舖	鋪
舞		儛
舵		䑨
船		舩
艪		艣
艫		舮
艮		𥃩
艱		囏
艶	艷	豔
艾		𦫿
芒		𥝕𦬆
芦		蘆蘆
花		蘤芲
芸	藝芸	秇蓺
芻		蒭
芽	芽	
苔		菭
苡		苢
若		若
英		偀
苺		莓
茎	莖	
茘		荔
茝		茝
茶		茶
荇		莕
荊		荆
荘	莊	㽵
荻		藡
莅		蒞
菉		菉
菊		蘜
菑		葘
菟		莵
