親字	旧字	異体字
町		
画	畫	
畋		
界		
畏		
畑		
畔		
留		
畚		
畛		
畜		
畝		
畠		
畢		
畤		
略		
畦		
番		
畬		畭
異	異	
畳	疊	
畷		
畸		
畿		
疆		
疇		畴
疋		
疎		
疏		
疑		
疔		
疚		
疝		
疣		
疥		
疫		
疱		
疲		
疳		
疵		
疸		
疹		
疼		
疽		
疾		
痂		
痃		
病		
症		
痊		
痍		
痒		
痔		
痕		
痘		
痙		
痛		
痞		
痢		
痣		
痩	瘦	
痰		
痲		
痳		
痴	癡	
痹		
痺		
痼		
痾		
痿		
瘁		
瘉		
瘋		
瘍		
瘟		
瘠		
瘡		
瘢		
瘤		
瘧		
瘰		
瘴		
瘻		
療		
癆		
癇		
癈		
癌		
癒		
癖		
癘		
癜		
癢		
癧		
癨		
癩		
癪		
癬		
癭		
癰		
癲		
癴		
癸		
発	發	
登		
白		
百		
皁		
的		
皆		
皇		
皎		
皐		皋
皓		
皖		
皙		
皚		
皮		
皰		
皴		
皹		皸
皺		
皿		
盂		
盃		
盆		
盈		
益	益	
盍		
盒		
盗	盜	
盛	盛	
盞		
盟		
監		
盤		
盥		
盧		
盪		蘯
目		
盲		
直		
相		
盻		
盾		
省		
眄		
眇		
眈		
眉		
看		
県	縣	
眛		
真	眞	
眠		
眥		眦
眩		
眷		
眸		
眺		
眼		
着		
睇		
睚		
睛		
睡		
督		
睥		
睦		
睨		
睫		
睹		
睾		
瞋		
瞎		
瞑		
瞞		
瞠		
瞥		
瞬		
瞭		
瞰		
瞳		
瞻		
瞼		
瞽		
瞿		
矇		
矍		
矚		
矛		
矜		
矢		
矣		
知		
矧		
矩		
短		
矮		
矯		
石		
矻		
矼		
砂		
砌		
砒		
研	硏	
砕	碎	
砠		
砥		
砦		
砧		
砲		
破		
硅		
硝		
硫		
硬		
硯		
硲		
硼		
碁		
碇		
碌		
碍		
碑	碑	
碓		
碗		盌
碚		
碣		
碧		
碩		
碪		
確		
碼		
碾		
磁		
磅		
磊		
磋		
磐		
磑		
磔		
磚		
磧		
磨		
磬		
磯		
磴		
磽		
礁		
礎		
礑		
礒		
礙		
礦		砿
礪		砺
礫		
礬		
示		
礼	禮	
社	社	
祀		
祁		
祇		
祈	祈	
祉	祉	
祐	祐	
祓		
祖	祖	
祗		
祚		
祝	祝	
神	神	
祟		
祠		
祥	祥	
票		
祭		
祺		
禁		
禄	祿	
禅	禪	
禊		
禍	禍	
禎	禎	
福	福	
禝		
禦		
禧		
禰		祢
禱		祷
禳		
禹		
禺		
禽		
禾		
禿		
秀		
私		
秉		
秋		
科		
秒		
秕		粃
秘	祕	
租		
秣		
秤		
秦		
